variable,subdomain,is_summary,mean_pct_missing,n_subjects_2+_waves,mean_waves_per_subject,mean_variance,miss_score,long_score,var_score,summary_bonus,composite_score
nt_y_stq__parent_001,other,False,83.35000000000001,0,1.0,1.245,0.16321542762442043,0.0,3.8793749444606787e-13,0.0,0.048964628287403715
nt_y_stq__screen__wkdy__min_001__01,screen_weekday,False,86.015,0,1.0,222.2026,0.13644809749401565,0.0,6.976130891142282e-11,0.0,0.04093442926215696
nt_y_stq__screen__wkdy__hr_001__01,screen_weekday,False,86.015,0,1.0,5.5787,0.13644809749401565,0.0,1.748575823744323e-12,0.0,0.04093442924855441
nt_y_stq__screen__wkdy__min_005__01,screen_weekday,False,86.46499999999999,0,1.0,214.853,0.13192828565210868,0.0,6.745377782597381e-11,0.0,0.03957848570912336
nt_y_stq__screen__wkdy__hr_005__01,screen_weekday,False,86.46499999999999,0,1.0,4.9375,0.13192828565210868,0.0,1.547260251197529e-12,0.0,0.03957848569594206
nt_y_stq__screen__wkdy__min_006__01,screen_weekday,False,88.20166666666667,0,1.0,227.4706,0.11448515995111919,0.0,7.141528650995138e-11,0.0,0.03434554799961881
nt_y_stq__screen__wkdy__hr_006__01,screen_weekday,False,88.20166666666667,0,1.0,5.5741,0.11448515995111919,0.0,1.747131576031105e-12,0.0,0.03434554798568518
nt_y_stq__socmed_002___3,social_media,False,88.75333333333333,0,1.0,0.2423,0.10894420543381844,0.0,7.31228896540055e-14,0.0,0.03268326163016016
nt_y_stq__socmed_002___5,social_media,False,88.75333333333333,0,1.0,0.2303,0.10894420543381844,0.0,6.935528692387212e-14,0.0,0.0326832616301594
nt_y_stq__socmed_002___2,social_media,False,88.75333333333333,0,1.0,0.2266,0.10894420543381844,0.0,6.819360941541431e-14,0.0,0.03268326163015917
nt_y_stq__socmed_002___11,social_media,False,88.75333333333333,0,1.0,0.2222,0.10894420543381844,0.0,6.681215508103209e-14,0.0,0.032683261630158895
nt_y_stq__socmed_002___9,social_media,False,88.75333333333333,0,1.0,0.2018,0.10894420543381844,0.0,6.040723043980533e-14,0.0,0.03268326163015761
nt_y_stq__socmed_002___6,social_media,False,88.75333333333333,0,1.0,0.1734,0.10894420543381844,0.0,5.14905706451563e-14,0.0,0.03268326163015583
